Text,Type
В МВД Татарстана подвели итоги регионального этапа конкурса детского творчества «Полицейский Дядя Степа»,0
"Женщины-инвесторы из Египта планируют инвестировать в Татарстане  Женщины-инвесторы из Египта выразили желание инвестировать в Татарстан, сообщила ректор Российского университета кооперации Алсу Набиева. Первый зампредседателя комитета Совета Федерации по региональной политике Галина Карелова отметила, что после пленарной сессии, которая прошла сегодня на полях KazanForum, появились новые предложения о сотрудничестве. Екатерина Лахова анонсировала создание в стране хартии за возрождение, сохранение и защиту традиционных семейных ценностей, которые являются ресурсом развития экономики. Президент международного форума БРИКС Пурнима Ананд отметила, что в кризисные времена больше всего страдают женщины.",1
"5️⃣7️⃣9️⃣0️⃣А.И. Бастрыкин затребовал доклад по уголовному делу о нарушении правил безопасности при ведении строительных работ в г. Барнауле   В СМИ сообщается об угрозе обрушения многоквартирного жилого дома в городе Барнауле Алтайского края. В здании, 1957 года постройки, образовалась большая трещина. Жильцы уверены, что причиной дефекта, угрожающего их жизни и здоровью, явились действия строительной организации, которая осуществляет работы по возведению жилого комплекса с подземным паркингом в непосредственной близости от дома.   В СУ СК России по Алтайскому краю возбуждено уголовное дело.   ❗️Председатель Следственного комитета Российской Федерации Александр Иванович Бастрыкин затребовал у руководителя СУ СК России по Алтайскому краю Игоря Владимировича Колесниченко доклад о ходе и результатах расследования уголовного дела.  Исполнение поручения поставлено на контроль в центральном аппарате ведомства.  #КонтрольПредседателяСКР #КомментарийКонтроль #АлтайскийКрай  Информационный центр СК России",0
"5️⃣7️⃣9️⃣0️⃣Председатель СК России поставил на контроль проверку по информации о нарушении прав жителей с. Новороманово Алтайского края  В сети Интернет сообщается, что в селе Новороманово Алтайского края, несмотря на выделенные в 2019 году бюджетные средства на реконструкцию системы водоснабжения, систематически происходят коммунальные аварии. В прошлом году в результате проведения работ по догазификации были повреждены трубопроводы. Кроме того, большая часть жилых домов подключены к одной водонапорной башне, насосы которой не справляются с нагрузкой и регулярно выходят из строя. Мер к разрешению ситуации не принимается.  В СУ СК России по Алтайскому краю организована процессуальная проверка.   ❗️Председатель Следственного комитета Российской Федерации Александр Иванович Бастрыкин поставил ход процессуальной проверки на контроль в центральном аппарате ведомства и поручил руководителю СУ СК России по Алтайскому краю Игорю Владимировичу Колесниченко доложить о ее промежуточных результатах и принятом по итогам решении.  #КонтрольПредседателяСКР #КомментарийКонтроль #АлтайскийКрай  Информационный центр СК России",0
"❗️В Москве откажутся от строительства студий и квартир площадью менее 28 квадратных метров, следует из письма Москомэкспертизы, которое есть у РИА Новости.  В письме указывается, что Жилищный кодекс РФ не относит ""студию"" к видам жилых помещений, а минимальное значение площади, согласно своду правил о многоквартирных жилых зданиях, для однокомнатных квартир 28 квадратов.   При нарушении требований Москомэкспертиза будет выдавать отрицательные заключения на проекты, кроме того, Мосгосстройнадзор будет следить за соблюдением норм.",1
"🏭 Акции Климовского патронного завода передали в госсобственность — что будет с предприятием?  Суд Калужской области удовлетворил иск Генпрокуратуры по изъятию акций у частных владельцев Климовского специализированного патронного завода (КСПЗ). Активы передадут в управление Росимущества. Прокуроры настаивали на признании сделок с переходом завода в частную собственность незаконными. Вместе с тем ведется уголовное дело, в рамках которого расследуют, как оборонное предприятие попало в руки частных, в том числе и зарубежных компаний.  При этом 36% акций КСПЗ принадлежат Ростеху. В корпорации уже заявили, что удовлетворены решением суда, а также выразили готовность принять актив в свое управление. На данный момент предприятие имеет задолженности порядка ₽500 млн.",1
"Взаимная торговля и инвестиции России и Китая надежно защищены от влияния третьих стран, заявил Путин.  А также от негативных тенденций на мировых валютных рынках, ведь доля рубля и юаня в российско-китайских коммерческих операциях уже выше 90% и продолжает расти.   Президент добавил, что они с председателем КНР договорились и дальше укреплять контакты по банковской линии, энергично задействовать национальные платежные системы для обслуживания экономических операторов двух стран.",1
"Совкомбанк в I квартале увеличил прибыль по МСФО на 11%  Чистая прибыль Совкомбанка по МСФО в первом квартале выросла на 11% и составила 25 млрд рублей, свидетельствует отчетность банка.  Чистый процентный доход составил 35,6 млрд рублей, показав рост на 11%. Чистый комиссионный доход снизился на 14%, до 5 млрд рублей.  Расходы на резервы по кредитным убыткам выросли до 17,2 млрд рублей с 11,9 млрд рублей годом ранее.  Прочие операционные доходы составили 17,8 млрд рублей против 872 млн рублей в первом квартале 2023 года.  @ifax_go",1
"В городе Димитровграде на улице Шишкина возле дома 73 в 18.00 часов, по предварительной информации, водитель (51 летний мужчина), управляя автомобилем «ВАЗ» одиннадцатой модели, при выполнении поворота налево на нерегулируемом перекрестке, не предоставил преимущества транспортному средству, движущемуся по равнозначной дороге со встречного направления, в результате чего совершил столкновение с автомобилем «Хонда Визел» под управление водителя (41 летней женщины).   Автомобиль «Хонда» после данного столкновения совершил наезд на препятствие в виде световой опоры, с последующим опрокидыванием.   В результате ДТП водитель автомобиля «Хонда» от полученных травм скончалась на месте происшествия до приезда скорой медицинской помощи; три ее несовершеннолетних пассажира (две девочки 12 лет и одна девочка 11 лет) госпитализированы.",0
"В Орловской области полицейские раскрыли грабеж и кражу золотых изделий  В ноябре 2022 года в отдел полиции № 3 (по Северному району) УМВД России по городу Орлу поступило сообщение о грабеже в ювелирном магазине, расположенном на улице Металлургов. Неизвестный мужчина в куртке с капюшоном при помощи спрятанного в пакете металлического прута разбил стеклянную витрину и открыто похитил золотые цепочки стоимостью свыше миллиона рублей, после чего скрылся в неизвестном направлении. По данному факту следователи следственного отдела ОП № 3 (по Северному району) УМВД России по городу Орлу возбудили уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 161 УК РФ «Грабеж». В результате проведенных оперативно-розыскных мероприятий во взаимодействии с коллегами из МВД по Республике Марий Эл полицейские установили личность и местонахождение подозреваемого — жителя Республики Мордовии 1989 года рождения. Оперативники выяснили, что накануне грабежа данный гражданин прибыл в город Орел и снял комнату в общежитии в Северном районе. Планируя преступление, мужчина несколько раз посетил ювелирный магазин, изучил обстановку внутри него, проанализировал пути отхода. В вечернее время фигурант совершил задуманное и скрылся с похищенным на автомобиле, который нашел с помощью онлайн-сервиса поиска попутчиков. В ходе дальнейшей работы с подозреваемым оперативники установили его причастность еще к одному факту противоправной деятельности, совершенном в сентябре 2020 года на территории Северного района города Орла. Так, полицейские выяснили, что в ночное время мужчина, разбив оконное стекло, проник в храм, откуда тайно похитил золотые украшения. Тогда по данному факту следственным отделом ОП № 3 УМВД России по городу Орлу было возбуждено уголовное дело по признакам преступления, предусмотренного ч. 2 ст. 158 УК РФ «Кража». В настоящее время данный гражданин подозревается в шести противоправных деяниях на территории пяти субъектов Российской Федерации. Как установили оперативники, похищенное имущество фигурант реализовывал в ломбардах на территории других регионов. В настоящее время фигуранту избрана мера пресечения в виде заключения под стражу. Полицейские проводят дальнейшие оперативно-розыскные мероприятия и следственные действия, направленные на сбор и закрепление доказательственной базы. Все материалы сайта Министерства внутренних дел Российской Федерации могут быть воспроизведены в любых средствах массовой информации, на серверах сети Интернет или на любых иных носителях без каких-либо ограничений по объему и срокам публикации. Это разрешение в равной степени распространяется на газеты, журналы, радиостанции, телеканалы, сайты и страницы сети Интернет. Единственным условием перепечатки и ретрансляции является ссылка на первоисточник. Никакого предварительного согласия на перепечатку со стороны Министерства внутренних дел Российской Федерации не требуется.",0
"📄 Председатель СК России провел совещание в Луганске  Глава ведомства заслушал доклад по уголовным делам о резонансных преступлениях киевского режима.  Заочно предъявлены обвинения бывшему заместителю Министра обороны Украины П. Мехеду и бывшему начальнику главного оперативного управления – заместителю начальника генерального штаба ВСУ В. Бокию. Они осуществляли общее руководство так называемой антитеррористической операцией в Донбассе. В результате их преступных действий ранены и погибли 165 человек, разрушены или повреждены более 87 объектов гражданской инфраструктуры. Принимаются меры к их розыску и аресту.  Следствие документирует все больше информации о действиях на стороне ВСУ наемников из разных стран: уголовное преследование осуществляется в отношении 658 иностранцев из 49 государств. Фигуранты объявлены в розыск, часть из них заочно арестованы. Завершено расследование еще двух уголовных дел, по которым заочно привлечены к уголовной ответственности наемник из Финляндии Топи Хухтала и наемник из Грузии Шота Деметрашвили.  Председатель СК России поручил продолжить работу по фиксации преступных действий ВФУ и установлению размера причиненного ущерба, отметив, что каждый преступник должен понести заслуженное наказание.  Кроме того, Главным следственным управлением завершено расследование уголовного дела о подрыве автомобиля главы военно-гражданской администрации пгт Михайловка Запорожской области Ивана Сушко. Обвинение в терроризме предъявлены В. Тетереву, А. Ляховченко, Д. Смоле, А. Кириченко и Д. Новикову, которые действовали по указанию сотрудников СБУ. Вскоре они предстанут перед судом.  Руководители СУ в новых регионах отчитались о работе по раскрытию и расследованию преступлений. При участии сотрудников ГУК СКР раскрыты убийства, совершенные в условиях неочевидности.  В завершение состоялась церемония награждения сотрудников СК России, проявивших высокие профессиональные качества, мужество и отвагу при исполнении служебного долга на территории новых регионов России.  ⚡️ Подписывайтесь на Следком",0
"Кировская транспортная прокуратура направила в суд уголовное дело о покушении на незаконный сбыт более 22 кг наркотических средств  Кировская транспортная прокуратура утвердила обвинительное заключение по уголовному делу в отношении 40-летней жительницы Омска. Она обвиняется по ч. 3 ст. 30, ч. 5 ст. 228.1 УК РФ (покушение на незаконный сбыт наркотических средств в особо крупном размере).  📌По версии следствия, зимой 2024 года женщина, действуя по указанию организатора преступной группы, забрала из тайника во Владимирской области оптовую партию наркотиков, которые предназначались для незаконного распространения на территории различных регионов страны.  Во время перевозки наркотиков на личном автомобиле женщина была задержана сотрудниками транспортной полиции на железнодорожном переезде в Кирове. Из незаконного оборота изъято более 22 кг наркотических средств.  ✅Транспортным прокурором уголовное дело направлено в Нововятский районный суд города Кирова для рассмотрения по существу.  ❗️В отношении неустановленного организатора преступления уголовное дело выделено в отдельное производство. Расследование продолжается.  @ptprok",1
"🇷🇺Рынок акций РФ открылся ростом индексов МосБиржи и РТС, лидирует ""Магнит"" и просел ""Ростелеком""  Рынок акций РФ открылся в четверг ростом цен большинства blue chips на фоне улучшения внешней фондовой и сырьевой конъюнктуры, а также в ожидании новостей с переговоров президента РФ Владимира Путина и председателя КНР Си Цзиньпина. Индексы МосБиржи и РТС за минуту торгов прибавили 0,3-0,4%, во главе с бумагами ""Магнита"", просели акции ""Ростелекома"" и Совкомбанка на корпоративных новостях.  К 10:01 МСК индекс МосБиржи составил 3482,35 пункта (+0,3%), индекс РТС - 1205,11 пункта (+0,4%); цены большинства ""голубых фишек"" на Мосбирже выросли в пределах 2,1%.  Подорожали акции ""Магнита"" (+2,1%), ""АЛРОСА"" (+1,1%), ""Аэрофлота"" (+1%), АФК ""Система"" (+0,9%), ""Роснефти"" (+0,8%), ПАО ""Полюс"" (+0,8%), ""Газпром нефти"" (+0,7%), ""НЛМК"" (+0,6%).  Подешевели акции ""Яндекса"" (-1,6%), ""Ростелекома"" (-1,3%), ""Сургутнефтегаза"" (-0,2%), Polymetal (-0,2%), ""ММК"" (-0,1%).  Доллар просел до 91,03 рубля (-0,05 рубля).  @ifax_go",1
"Председатель Госдумы Вячеслав Володин заявил, что киевский режим втягивает США и страны Европы в большую войну.  Этот путь ведет к трагедии, которая может затронуть все человечество. Киевский режим, проигрывая на поле боя, пытается втянуть Соединённые Штаты и страны Европы в большую войну. Любое использование американского и европейского оружия для нанесения ударов по мирным городам Российской Федерации потребует применения более мощного оружия, чтобы защитить граждан нашей страны.  @dumabrief",1
"Сотрудники ГИМС провели со школьниками «Урок мужества»‼  📌 В рамках мероприятий, приуроченных к празднованию 79-й годовщины Победы в Великой Отечественной войне, сотрудники Центра ГИМС ГУ МЧС России по Ульяновской области провели ""Урок Мужества"" для учащихся гимназии №34.   В честь этой памятной даты сотрудники ГИМС представили ребятам выставку «Великая победа – гордость поколений».    📢 Композицию составили три старинных ящика из-под снарядов, внутри которых расположились бытовые и военные вещи первой необходимости. Ребята с любопытством рассматривали собранные раритеты. Особенно увлеченно мальчишки и девчонки изучали звёздочки и пуговицы от обмундирования, обоймы патронов и осколочные гранаты. Каждому хотелось прикоснуться к уникальным экспонатам времен Великой Отечественной войны.",0
"В Липецкой области подвели итоги регионального этапа Всероссийского конкурса «Полицейский Дядя Степа»  В УМВД России по Липецкой области подвели итоги регионального этапа Всероссийского конкурса детского творчества «Полицейский дядя Степа», приуроченного к Международному Дню защиты детей. Творческое состязание проводилось среди детей в возрасте от 6 до 14 лет, которые при помощи разнообразных материалов подготовили поделки, игрушки и тематические композиции на правоохранительную тематику. Так как 2024 год Указом Президента Российской Федерации объявлен Годом семьи, то участникам конкурса предлагалось изготовить тематические поделки, отражающие семейные ценности и изображающие полицейские семьи и династии. Члены жюри, в состав которого вошли члены Общественного совета при УМВД России по Липецкой области Игорь Мазур и Дмитрий Аксенов, учитывая тематику конкурса, выбрали три лучшие работы конкурсантов. Победителями стали: 7-летний Востриков Денис из Елецкого района с работой под названием «Папа, мама и я – полицейская семья». Родители Дениса служат в ОМВД России по г. Ельцу. 9-летняя Бурцева Анфиса из города Липецка с работой под названием «Моя семья – Офицеры!». Девочка в своей композиции представила полицейскую семейную династию – дедушку, маму и дядю. 14-летняя Дубинина Софья из областного центра с поделкой под названием «Одна семья, одна душа с Дядей Степой!». Мама Софьи служит в кадровом подразделении УМВД России по г.Липецку. Поделки ребят будут отправлены в Москву для участия в федеральном этапе конкурса. А победителии и участники регионального этапа Всероссийского конкурса «Полицейский Дядя Степа» в преддверии Дня защиты детей будут награждены благодарностями УМВД России по Липецкой области и подарками от общественного совета при ведомстве. Все материалы сайта Министерства внутренних дел Российской Федерации могут быть воспроизведены в любых средствах массовой информации, на серверах сети Интернет или на любых иных носителях без каких-либо ограничений по объему и срокам публикации. Это разрешение в равной степени распространяется на газеты, журналы, радиостанции, телеканалы, сайты и страницы сети Интернет. Единственным условием перепечатки и ретрансляции является ссылка на первоисточник. Никакого предварительного согласия на перепечатку со стороны Министерства внутренних дел Российской Федерации не требуется.",0
"В УМВД России по Ульяновской области подвели итоги регионального этапа Всероссийского конкурса детского творчества «Полицейский Дядя Степа»  В УМВД России по Ульяновской области состоялся отборочный региональный этап ежегодного Всероссийского конкурса детского творчества «Полицейский Дядя Степа», который проводится в преддверии Международного дня защиты детей при активной поддержке Общественного совета при региональном УМВД. В Конкурсе приняли участие воспитанники областных государственных казенных образовательных учреждениях для детей - сирот и детей, оставшихся без попечения родителей, учащиеся образовательных организаций и домов детского творчества региона. На суд жюри поступило несколько десятков работ, выполненных в различных техниках, с использованием текстиля, соленого теста, картона, пластилина, цветной бумаги и иных материалов. В своих поделках ребята изобразили сотрудников органов внутренних дел серьезными и строгими, добрыми и отзывчивыми, но всегда готовыми прийти на помощь и защитить слабых. Непохожие друг на друга творческие работы юных ульяновцев никого не оставили равнодушным. После продолжительных обсуждений членами жюри, в состав которого вошли представители Общественного совета при УМВД России по Ульяновской области и сотрудники органов внутренних дел, были определены три победителя регионального этапа конкурса «Полицейский Дядя Степа». Ими стали воспитанник Майнского детского дома «Орбита» Родкин Алексей, воспитанник детского дома «Дом Детства» г. Ульяновска Завьялов Иван, учащаяся лицея при УлГТУ № 45 г. Ульяновска Чистикова Майя. Лучшие работы представят Ульяновскую область в федеральном этапе Конкурса. Все материалы сайта Министерства внутренних дел Российской Федерации могут быть воспроизведены в любых средствах массовой информации, на серверах сети Интернет или на любых иных носителях без каких-либо ограничений по объему и срокам публикации. Это разрешение в равной степени распространяется на газеты, журналы, радиостанции, телеканалы, сайты и страницы сети Интернет. Единственным условием перепечатки и ретрансляции является ссылка на первоисточник. Никакого предварительного согласия на перепечатку со стороны Министерства внутренних дел Российской Федерации не требуется.",0
